gene_id,H2Aub,H3K27,misregulated
AT5G50210,1.2552916697494243,NA,-1.43470367965357
AT1G48570,1.2901758917424626,NA,NA
AT1G35730,-1.1501604997820911,NA,4.42439964204994
AT5G41780,-1.2465767789561868,NA,NA
AT4G06425,-1.1650502862531436,NA,NA
AT4G16745,-1.1650502862531436,-0.5719388469153327,NA
AT1G12680,1.3614411339899375,NA,NA
AT2G38025,1.5951910856024996,NA,NA
AT2G38030,1.5951910856024996,NA,NA
AT1G03760,1.542974637425602,3.3000638749003444,-1.75116274556571
AT3G18410,1.559341477435931,NA,NA
AT1G14750,1.1798136707841171,NA,NA
AT1G25375,1.400481931315287,NA,NA
AT1G25380,1.400481931315287,NA,NA
AT1G04150,-0.806747456734601,-0.6227002770457969,NA
AT2G28230,1.6088355033410209,NA,-1.03028129822068
AT5G65450,1.3186371757523696,NA,NA
AT2G20310,1.4464376256263718,NA,NA
AT3G21070,1.4560125144141849,NA,NA
AT3G54970,1.2442734532914423,NA,NA
AT3G54980,1.2442734532914423,NA,NA
AT1G48550,1.294958551782579,NA,NA
AT1G48560,1.294958551782579,NA,NA
AT5G09860,1.522538737123549,NA,NA
AT1G04917,1.432725287403685,NA,NA
AT1G11900,1.432725287403685,NA,NA
AT1G11905,1.432725287403685,2.5476961865997856,-1.16924662907237
AT1G71070,1.140478022880593,NA,NA
AT1G73240,1.2682100000277798,NA,NA
AT1G73250,1.2682100000277798,3.055978544047334,-1.69248641179892
AT4G13750,1.2101335428124755,NA,NA
AT1G76310,1.2402365051460431,NA,NA
AT1G76320,1.2402365051460431,NA,NA
AT5G10730,1.3368333801120662,NA,NA
AT2G20750,-1.4261394312349902,NA,NA
AT1G61770,1.8675540334909957,NA,NA
AT2G25910,1.3140190595707468,NA,NA
AT3G24730,2.277362636446756,NA,NA
AT3G24740,2.277362636446756,NA,NA
AT5G53210,-1.2480772154416937,NA,NA
AT2G08635,1.0314246518604795,NA,NA
AT2G33835,1.0314246518604795,NA,NA
AT2G33840,1.0314246518604795,2.091005910289764,NA
AT2G33845,1.0314246518604795,NA,NA
AT5G35770,-1.0173740768843136,-0.16321029850383936,NA
AT1G01360,0.9768494818076896,NA,NA
AT1G01370,0.9768494818076896,NA,NA
AT2G08180,1.507687549691794,NA,NA
AT2G26780,1.507687549691794,NA,NA
AT1G06970,-0.9721630545093434,NA,NA
AT3G15170,-0.9113066203747124,NA,NA
AT1G07167,-1.1106842836585742,NA,NA
AT1G07173,-1.1106842836585742,NA,NA
AT1G43600,-1.1106842836585742,NA,NA
AT1G43605,-1.1106842836585742,NA,NA
AT3G62400,1.4184591124820758,NA,NA
AT5G27620,1.4472385505842345,NA,NA
AT1G65660,1.561935773342307,NA,NA
AT1G51060,1.275044359061543,NA,NA
AT1G51070,1.275044359061543,NA,NA
AT1G54100,1.2753143100486193,NA,NA
AT4G03240,1.526084957181438,NA,NA
AT4G03250,1.526084957181438,NA,NA
AT3G07770,1.2496924078654066,NA,NA
AT3G54650,1.1835450388461437,NA,NA
AT1G21790,1.404567557666837,NA,-2.15903193317892
AT2G35940,-1.298852811033479,NA,NA
AT2G35945,-1.298852811033479,NA,NA
AT1G18430,1.1735004849497184,NA,NA
AT1G18440,1.1735004849497184,NA,NA
AT3G48520,-1.4419741625432736,-0.5873395133482722,NA
AT1G08220,1.6852993599279549,NA,NA
AT2G19720,1.766543893639536,NA,NA
AT2G19730,1.766543893639536,NA,NA
AT5G45400,1.7751014308689257,NA,NA
AT4G12990,1.7160605076765183,NA,NA
AT1G02110,-1.3424696397797575,NA,NA
AT1G02120,-1.3424696397797575,NA,NA
AT2G43330,1.5237309237452092,NA,NA
AT5G09820,1.1440930069208055,NA,NA
AT5G09830,1.1440930069208055,NA,NA
AT5G15470,1.6066799562593883,NA,NA
AT3G18310,1.2762207310141114,NA,NA
AT5G18810,1.3974247263578774,NA,NA
AT5G18820,1.3974247263578774,NA,NA
AT1G02690,1.082448189484831,NA,NA
AT5G41880,1.2075082540858908,NA,NA
AT1G78140,1.6743087292419518,NA,-1.08282864184846
AT5G53350,1.0847095659597286,NA,NA
AT5G18830,1.4775095916816985,NA,NA
AT2G36010,1.43382303130183,NA,NA
AT5G39250,1.6390379164285669,0.3355570262282013,NA
AT1G11940,1.5306846861130745,2.7858622434561395,-1.99543471896415
AT3G07805,1.493155680021221,2.79197973611936,NA
AT3G47730,1.493155680021221,2.79197973611936,-1.2032711869313
AT2G26440,-0.8001850315933251,NA,NA
AT2G26450,-0.8001850315933251,NA,NA
AT5G26850,1.4251725356451632,NA,NA
AT5G26860,1.4251725356451632,NA,NA
AT1G47870,2.4599516048685173,NA,NA
AT2G06605,1.781356729074944,2.34532449848046,NA
AT3G27220,1.272853471218505,NA,NA
AT3G27230,1.272853471218505,NA,NA
AT3G24220,-0.8360539489893117,NA,NA
AT5G49220,1.845789095550624,NA,NA
AT1G02180,-0.953574744793732,NA,-1.7725233517957
AT1G02190,-0.953574744793732,-0.4040972493900999,NA
AT1G02205,-0.953574744793732,-0.4040972493900999,NA
