ubp5_targets,cat
AT1G11020,Hyper-marked
AT1G11060,Hyper-marked
AT1G11090,Hyper-marked
AT1G11100,Hyper-marked
AT1G11160,Unchanged
AT1G11175,Hyper-marked
AT1G11180,Hyper-marked
AT1G11240,Hypo-marked
AT1G11320,De-novo marked
AT1G11380,De-novo marked
AT1G11390,De-novo marked
AT1G11430,Hyper-marked
AT1G11475,Hypo-marked
AT1G11480,Hypo-marked
AT1G11560,Hypo-marked
AT1G11591,De-novo marked
AT1G11592,De-novo marked
AT1G11630,De-novo marked
AT1G11660,Unchanged
AT1G11710,Hyper-marked
AT1G11750,Hypo-marked
AT1G11755,De-novo marked
AT1G11760,Unchanged
AT1G11780,Hypo-marked
AT1G11790,Hyper-marked
AT1G11800,Hyper-marked
AT1G11820,De-novo marked
AT1G11840,De-novo marked
AT1G11870,Hyper-marked
AT1G11900,Hyper-marked
AT1G11905,Hyper-marked
AT1G11910,De-novo marked
AT1G11940,Hyper-marked
AT1G12013,Unchanged
AT1G12015,Unchanged
AT1G12140,Unchanged
AT1G12244,De-novo marked
AT1G12270,Hyper-marked
AT1G12300,Unchanged
AT1G12310,De-novo marked
AT1G12320,Hypo-marked
AT1G12330,Unchanged
AT1G12350,De-novo marked
AT1G12360,De-novo marked
AT1G12370,De-novo marked
AT1G12410,Unchanged
AT1G12450,De-novo marked
AT1G12460,De-novo marked
AT1G12470,De-novo marked
AT1G12500,De-novo marked
AT1G12520,De-novo marked
AT1G12530,Hyper-marked
AT1G12550,Hyper-marked
AT1G12620,De-novo marked
AT1G12680,Hyper-marked
AT1G12700,De-novo marked
AT1G12710,Hyper-marked
AT1G12750,De-novo marked
AT1G12760,Unchanged
AT1G12775,De-novo marked
AT1G12790,De-novo marked
AT1G12810,Unchanged
AT1G12830,Unchanged
AT1G12840,Unchanged
AT1G12850,De-novo marked
AT1G12910,De-novo marked
AT1G12930,De-novo marked
AT1G12970,De-novo marked
AT1G13020,De-novo marked
AT1G13030,Hyper-marked
AT1G13060,Unchanged
AT1G13120,De-novo marked
AT1G13160,De-novo marked
AT1G13170,Hyper-marked
AT1G13180,Hyper-marked
AT1G13190,Unchanged
AT1G13195,Unchanged
AT1G13220,De-novo marked
AT1G13350,De-novo marked
AT1G13380,Unchanged
AT1G13450,Unchanged
AT1G13460,Unchanged
AT1G13570,De-novo marked
AT1G13630,De-novo marked
AT1G13690,Unchanged
AT1G13730,De-novo marked
AT1G13770,De-novo marked
AT1G13780,Unchanged
AT1G13800,Hyper-marked
AT1G13810,Hyper-marked
AT1G13860,Hyper-marked
AT1G13870,Unchanged
AT1G13880,Unchanged
AT1G13900,De-novo marked
AT1G13910,De-novo marked
AT1G13940,Unchanged
AT1G14010,De-novo marked
AT1G14020,Hyper-marked
AT1G14071,De-novo marked
AT1G14090,Unchanged
AT1G14130,De-novo marked
AT1G14140,Hypo-marked
AT1G14170,Hypo-marked
AT1G14180,De-novo marked
AT1G14230,De-novo marked
AT1G14270,Hypo-marked
AT1G14290,De-novo marked
AT1G14300,De-novo marked
AT1G14310,De-novo marked
AT1G14340,De-novo marked
AT1G14360,Hyper-marked
AT1G14380,Unchanged
AT1G14410,Hypo-marked
AT1G14430,Hypo-marked
AT1G14450,De-novo marked
AT1G14453,De-novo marked
AT1G14470,Hyper-marked
AT1G14510,Unchanged
AT1G14530,Hyper-marked
AT1G14560,Unchanged
AT1G14570,De-novo marked
AT1G14590,De-novo marked
AT1G14640,De-novo marked
AT1G14650,De-novo marked
AT1G14660,De-novo marked
AT1G14670,De-novo marked
AT1G14680,De-novo marked
AT1G14710,De-novo marked
AT1G14750,Hyper-marked
AT1G14770,De-novo marked
AT1G14850,Unchanged
AT1G14900,Unchanged
AT1G14910,Unchanged
AT1G14970,Hypo-marked
AT1G14980,Hypo-marked
